username;name;sex;mail;birthdate;country;city;street;password
klara95;Dr. Takács Bertalan Ferenc;M;krisztianszabi@hotmail.com;2004-10-30;Hungary;Dunaújváros;Zalaegerszegi utca 42.;zdY7qiE1JGDM
zsolt39;I. Kiss Zsigmond;M;ipataki@yahoo.com;2003-03-16;Hungary;Pilishetvenvárad;Belsőkereszti utca 87.;ED4SEurrE0D8
upinter;Prof. Dr. Horváth Boros Erika;F;istvanbalogh@gmail.com;1918-08-22;Hungary;Szeged;Belsői utca 149.;9BZJGfJt8eSv
cvincze;Z. Máté László;M;hegeduskatalin@gmail.com;1967-10-22;Hungary;Szentmártonvárad;Keresztfalvai utca 91.;kvE8tAPBvmPN
margit14;Dr. Gál Margit;F;ajuhasz@hotmail.com;1948-05-12;Hungary;Bácsszékharaszti;Békésmelléki utca 131.;jZHfc5xzJ792
xkiss;A. Molnár János;M;ybalogh@hotmail.com;2000-05-06;Hungary;Baja;Salgótarjáni utca 33.;u9f5RraGKSKs
vargaantal;Horváth Károlyné Antal Enikő;F;ilona87@hotmail.com;1968-08-05;Hungary;Eger;Tótfalvai út 23.;OZfhUKUL4Has
annalaszli;Kerekes G. Alexandra;F;tithtimea@hotmail.com;1920-11-27;Hungary;Belsőtamásikövesd;Békési utca 221.;Z3x6lcGjE99N
szabolcs74;Varga Róbert Antal;M;mariafekete@hotmail.com;1994-06-07;Hungary;Széknémeti;Tamásinádasdi tér 113.;ybE9DY5auS77
barnanagy;Dr. Somogyi Kiss Róbert;M;ilona61@hotmail.com;2001-02-03;Hungary;Érd;Törökhídi utca 61.;5ylH6Ax143MQ
anita09;Halász Gyulané;F;klara47@hotmail.com;2010-12-02;Hungary;Székfa;Petőfi utca 58.;6n0XSffarZ6E
katalinorosz;Kovács Lakatos István;M;gallaszli@gmail.com;1958-01-26;Hungary;Újhídapáti;Petőfi utca 135.;1mV6VwXcrWSx
birikrisztian;Hegedűs István;M;sandorfarkas@gmail.com;1956-12-18;Hungary;Tatabánya;Tapolcafalvai út 217.;cd1vpGthJ8Yr
kissiren;Dr. Balogh Hegedűs Bernadett;F;anikifekete@yahoo.com;1958-07-24;Hungary;Bácstótfa;Somogytamásii utca 223.;Dm4XkCmLxe96
kmate;C. Fazekas Kristóf;M;szabiviktor@hotmail.com;1980-08-21;Hungary;Nagykanizsa;Hátvári utca 199.;3dVKYtFqxb55
judit97;Somogyi K. Gyöngyi;F;szalaimaria@gmail.com;1948-02-10;Hungary;Mezőmártonbánya;Alsói utca 116.;3V5zN1vnen8A
vargajizsef;Dr. Szilágyi Barta Ilona;F;horvathistvan@gmail.com;1915-01-07;Hungary;Vár;Hajdúhídi utca 49.;2LGnyORx4BgM
nagyferenc;Takácsné Kiss Ibolya Ilona;F;zsarkozi@yahoo.com;2024-05-22;Hungary;Fürdővárad;Vári út 183.;V7C8Z1lMnYb2
ibodnar;Bogdán P. Gyula;M;mszabi@gmail.com;1951-11-09;Hungary;Szolnok;Bakonyszéki utca 144.;SG1KHhcFr9KZ
kissviktiria;Dr. Csonka Szűcs István;M;gtith@gmail.com;1953-12-13;Hungary;Szolnok;Pilistapolcai utca 213.;hIopfyani8RT
